year,certificate,movielist
1963,U,The Nutty Professor
1996,UA,The Mirror Has Two Faces
2007,U,Butterfly on a Wheel
1979,Not Rated,Rock 'n' Roll High School
1971,A,Shaft
1991,R,Jungle Fever
2012,A,Arbitrage
2015,R,Irrational Man
1965,A,"Faster, Pussycat! Kill! Kill!"
1983,Not Rated,The Adventures of Bob & Doug McKenzie: Strange Brew
2005,U,A Lot Like Love
2002,R,Auto Focus
2008,A,Vantage Point
I 2022,UA 16+,Darlings
2010,R,Rare Exports
1999,R,True Crime
2017,A,Aknyeo
1958,U,Gigi
1984,UA,All of Me
I 2019,Not Rated,Plus One
1995,UA,Grumpier Old Men
2002,R,Ripley's Game
1966,U,Torn Curtain
I 2017,A,Thank You for Your Service
1993,R,Romeo Is Bleeding
2013,R,The Immigrant
1977,U,High Anxiety
2005,R,The Weather Man
I 2019,R,Light of My Life
1969,PG-13,Paint Your Wagon
2007,PG-13,Cassandra's Dream
2012,R,Celeste & Jesse Forever
1991,Not Rated,Soapdish
I 2009,PG-13,Creation
2015,Not Rated,El desconocido
1994,U,"Corrina, Corrina"
2022,UA 16+,I Used to Be Famous
2018,U,Smallfoot
2006,PG-13,Take the Lead
2014,PG,When the Game Stands Tall
1987,U,Suspect
I 2009,R,Cracks
1992,R,Hoffa
2012,U,The Odd Life of Timothy Green
II 2007,PG-13,Chaos Theory
2011,PG-13,The Beaver
1977,U,"Oh, God!"
1998,U,A Civil Action
1978,Not Rated,Revenge of the Pink Panther
1994,U,Black Beauty
2014,R,Wish I Was Here
1955,Not Rated,Killer's Kiss
I 2018,UA,Next Gen
2007,Not Rated,Arn: Tempelriddaren
1968,Not Rated,Ice Station Zebra
2008,R,Transsiberian
2001,Not Rated,Nabbeun namja
2000,R,Bamboozled
1997,PG,The Man Who Knew Too Little
2019,Not Rated,Balkanskiy rubezh
2007,R,Reservation Road
2017,R,Happy End
2006,R,Seraphim Falls
2003,PG-13,Luther
2013,R,The Best Man Holiday
1997,R,One Eight Seven
1998,R,Clay Pigeons
1954,Not Rated,River of No Return
2003,R,Confidence
1990,UA,Narrow Margin
1971,Not Rated,Il gatto a nove code
1990,Not Rated,Alice
2013,Not Rated,Gamgi
2003,R,The Shape of Things
2015,PG-13,Experimenter
2004,PG-13,De-Lovely
2001,R,Kissing Jessica Stein
2004,R,5x2
2015,PG-13,Freeheld
2000,PG,Small Time Crooks
2006,R,The Dead Girl
1988,U,Biloxi Blues
2007,Not Rated,La habitaciÃ³n de Fermat
1962,Not Rated,That Touch of Mink
2000,R,Animal Factory
1996,UA,Ging chaat goo si 4: Gaan dan yam mo
2019,Not Rated,Guava Island
2010,Not Rated,L'immortel
2007,A,A Mighty Heart
2008,Not Rated,Adulthood
2002,R,Gin gwai
1991,U,Little Man Tate
2001,UA,Wasabi
1995,PG,The Englishman Who Went Up a Hill But Came Down a Mountain
I 2006,U,Something New
2011,R,Sound of My Voice
2006,Not Rated,DirektÃ¸ren for det hele
2007,R,Paranoid Park
2019,Not Rated,Le daim
2014,U,Black or White
2005,Not Rated,Factotum
2015,R,Louder Than Bombs
2005,R,The Business
2002,PG-13,Moonlight Mile
1986,U,Clockwise
2021,18,Kagittan Hayatlar
2017,R,Small Town Crime
2008,R,What Doesn't Kill You
2015,R,"Hello, My Name Is Doris"
1982,A,A Midsummer Night's Sex Comedy
2008,PG-13,Last Chance Harvey
2022,A,Doctor G
2007,R,Battle in Seattle
2004,UA,Dhoom
2021,UA,Antim: The Final Truth
2000,UA,Blood: The Last Vampire
2009,R,Five Minutes of Heaven
II 2011,R,Black Gold
2006,U,Bhagam Bhag
2006,R,Renaissance
2004,UA,Aitraaz
2009,R,Shrink
2011,A,The Dirty Picture
2016,Not Rated,Quo vado?
2007,R,Rocket Science
2022,UA,Yashoda
2014,Not Rated,The Trip to Italy
2007,PG-13,King of California
2014,R,Rosewater
2013,A,Go Goa Gone
2010,R,Please Give
2014,Not Rated,"Kumiko, the Treasure Hunter"
2004,R,A Home at the End of the World
2006,R,Sherrybaby
2012,PG-13,Comme un chef
I 2011,PG-13,Eva
2010,R,Howl
2011,Not Rated,Sala samobÃ³jcÃ³w
2010,Not Rated,Benvenuti al sud
2011,PG-13,La dÃ©licatesse
2009,Not Rated,GÃ¼nesi GÃ¶rdÃ¼m
2013,PG-13,Words and Pictures
1999,R,The Big Kahuna
1995,PG,The Grass Harp
1967,Not Rated,AstÃ©rix le Gaulois
2006,PG-13,Driving Lessons
2006,U,Vivah
2006,PG-13,La doublure
2006,Not Rated,Sinav
2006,UA,Bo bui gai wak
2010,PG-13,Di Renjie zhi Tongtian diguo
2011,U,7aum Arivu
2005,U,No Entry
2011,Not Rated,Eyyvah Eyvah 2
2023,A,Scream VI
2017,18,Gerald's Game
V 2022,A,Smile
1990,A,The Exorcist III
2019,A,It Chapter Two
1989,A,Pet Sematary
1999,UA,Star Wars: Episode I - The Phantom Menace
1981,A,Halloween II
2006,R,Idiocracy
2022,UA 16+,The Gray Man
2013,A,Evil Dead
2017,UA,Pirates of the Caribbean: Dead Men Tell No Tales
1987,UA,The Witches of Eastwick
2005,UA,War of the Worlds
2023,UA,Plane
2006,R,Silent Hill
2022,7,Sonic the Hedgehog 2
1999,UA,The Blair Witch Project
I 1998,A,The Man in the Iron Mask
1985,Not Rated,Just One of the Guys
2004,UA,Ocean's Twelve
2008,A,Mamma Mia!
2015,R,Crimson Peak
2009,A,Antichrist
2017,A,Annabelle: Creation
I 2018,Not Rated,Mandy
2009,R,The Last House on the Left
2016,A,The Girl on the Train
I 1996,UA,Twister
2006,PG-13,Marie Antoinette
2015,18,The Final Girls
2008,U,The Chronicles of Narnia: Prince Caspian
2016,UA,Batman v Superman: Dawn of Justice
1986,U,Three Amigos!
2014,A,Sin City: A Dame to Kill For
II 2020,R,The Hunt
2005,U,Red Eye
2004,U,The Day After Tomorrow
2000,U,Gone in Sixty Seconds
2019,12+,Ad Astra
2009,UA,Fast & Furious
2019,UA,PokÃ©mon: Detective Pikachu
2009,UA,X-Men Origins: Wolverine
2022,PG-13,See How They Run
1997,UA,Air Force One
1993,PG-13,Fire in the Sky
2008,18,Sex Drive
1990,UA,Arachnophobia
2019,A,Fast & Furious Presents: Hobbs & Shaw
2020,18,Possessor
2013,A,Oculus
2018,R,Under the Silver Lake
2020,U,Sonic the Hedgehog
2000,A,Road Trip
2023,R,Boston Strangler
2005,16,Mr. & Mrs. Smith
1988,Not Rated,Elvira: Mistress of the Dark
2006,A,Slither
I 2013,18,Homefront
2003,UA,Mona Lisa Smile
2006,U,Night at the Museum
2001,UA,Zoolander
2015,UA,The Hunger Games: Mockingjay - Part 2
2003,A,How to Lose a Guy in 10 Days
2011,A,Friends with Benefits
2018,UA,Fantastic Beasts: The Crimes of Grindelwald
1985,Not Rated,Rambo: First Blood Part II
2018,Not Rated,The Clovehitch Killer
2014,UA,Blended
1997,R,Romy and Michele's High School Reunion
2003,PG,Freaky Friday
2017,PG,The Boss Baby
2004,PG-13,Walking Tall
1977,R,The Sentinel
1981,R,The Burning
2009,R,The House of the Devil
2016,R,Criminal
2018,R,Mary Queen of Scots
2015,PG-13,Maze Runner: The Scorch Trials
2013,PG-13,Dark Skies
2005,PG-13,Transporter 2
2014,R,The Voices
2010,PG-13,Date Night
2016,PG-13,"Hail, Caesar!"
1977,R,The Hills Have Eyes
I 2018,PG-13,The Commuter
1990,R,Predator 2
2013,PG-13,Anchorman 2: The Legend Continues
2013,PG-13,The Internship
2022,R,Clerks III
1984,PG,Splash
2013,PG,Oz the Great and Powerful
I 2014,R,Neighbors
I 2017,TV-MA,Bright
2003,R,Once Upon a Time in Mexico
1984,PG-13,Night of the Comet
1984,R,Bachelor Party
2020,PG-13,My Spy
1994,R,Wolf
2020,TV-MA,Run Hide Fight
2004,PG-13,Meet the Fockers
1988,R,Mystic Pizza
2020,TV-MA,#Alive
2016,PG,Angry Birds
2004,PG,Ella Enchanted
I 2013,R,The Family
2013,PG-13,Jack the Giant Slayer
2014,R,The Loft
2010,PG,Shrek Forever After
I 2017,TV-MA,Cargo
2005,R,Revolver
2016,R,Free Fire
1975,R,Shivers
2010,R,Get Him to the Greek
2016,R,Triple 9
2020,TV-G,Feel the Beat
1991,PG-13,Doc Hollywood
1985,PG,Summer Rental
2001,R,Rock Star
1985,PG,The Black Cauldron
2013,R,The Last Stand
1999,PG-13,Entrapment
2003,PG-13,Paycheck
1980,R,American Gigolo
1985,PG-13,Cat's Eye
2010,R,The American
2012,R,Underworld: Awakening
2005,PG-13,Flightplan
2014,G,Rio 2
I 2015,R,True Story
2001,R,Don't Say a Word
1990,NC-17,Henry & June
2010,R,All Good Things
2017,PG-13,Crooked House
2014,R,Horrible Bosses 2
2007,PG-13,Blades of Glory
2009,PG-13,Surrogates
I 2017,PG-13,The Shack
2021,R,Annette
2011,R,Take Me Home Tonight
2009,R,Funny People
2016,PG-13,Spectral
2013,PG,Cloudy with a Chance of Meatballs 2
2009,PG-13,The Invention of Lying
2012,PG,Diary of a Wimpy Kid: Dog Days
2010,Not Rated,Womb
2022,TV-14,Look Both Ways
I 2015,R,Mr. Right
2021,PG-13,Barb and Star Go to Vista Del Mar
2017,TV-MA,Sand Castle
2010,R,Centurion
1995,R,Screamers
I 2010,PG-13,Dear John
2011,R,Young Adult
1997,R,Smilla's Sense of Snow
2021,TV-MA,Love Hard
2005,PG-13,The Family Stone
1995,PG-13,Major Payne
2011,PG,Johnny English Reborn
1998,R,Pecker
2015,Not Rated,Deathgasm
1977,PG,Wizards
1986,R,Dolls
2005,PG,Because of Winn-Dixie
I 2019,R,The Laundromat
2010,R,Somewhere
2001,PG,Osmosis Jones
2019,R,The Aftermath
2014,R,Two Night Stand
1978,PG,Convoy
2009,R,The Rebound
I 2020,R,Irresistible
1978,PG,Every Which Way But Loose
2012,PG-13,This Means War
2009,R,Ninja Assassin
1978,R,The Fury
2022,R,Kimi
2004,PG-13,Wimbledon
1993,R,The Vanishing
2021,R,Queenpins
1977,R,Rabid
2018,R,Aniara
1996,R,Mulholland Falls
2004,R,Mindhunters
2003,PG-13,Intolerable Cruelty
1988,PG-13,License to Drive
1999,PG-13,Blue Streak
2017,Unrated,Newness
2013,PG-13,Austenland
1982,Not Rated,The New York Ripper
2015,PG-13,Project Almanac
2017,R,The Only Living Boy in New York
2009,Not Rated,Dead Snow
1984,PG-13,Dreamscape
2007,PG,No Reservations
2002,PG-13,Barbershop
2015,PG-13,Secret in Their Eyes
1975,G,Escape to Witch Mountain
2019,PG-13,Radioactive
2008,PG-13,"Angus, Thongs and Perfect Snogging"
1988,R,The Dead Pool
1983,PG,Lone Wolf McQuade
2015,R,He Never Died
2005,PG-13,Elizabethtown
2006,PG-13,Tales from Earthsea
I 2017,R,Unlocked
1996,PG,Evita
1987,PG,Baby Boom
2018,Not Rated,The Man Who Killed Don Quixote
1992,PG,Forever Young
1998,R,Celebrity
2014,R,The November Man
2012,R,John Dies at the End
1986,R,About Last Night
1991,PG,Bill & Ted's Bogus Journey
2017,PG-13,"Everything, Everything"
1995,R,Assassins
1987,PG-13,Throw Momma from the Train
2020,PG,Over the Moon
2010,R,Repo Men
2013,PG-13,Delivery Man
2019,R,Little Monsters
2022,TV-PG,Wedding Season
2021,TV-14,To All the Boys: Always and Forever
1998,R,Very Bad Things
2001,R,Formula 51
I 2020,R,The Nest
1994,R,Threesome
2014,R,While We're Young
I 2008,PG-13,W.
2017,Not Rated,Radius
2019,R,7500
2006,Not Rated,Loving Annabelle
2020,R,Chemical Hearts
2021,R,The United States vs. Billie Holiday
2017,R,On Chesil Beach
1992,R,Jennifer 8
1981,R,Nighthawks
1981,R,Wolfen
2013,R,Breathe In
2016,PG-13,Risen
2017,R,Loving Pablo
2012,R,To Rome with Love
2013,R,Prince Avalanche
2014,R,13 Sins
2006,R,Fast Food Nation
2005,R,Tideland
2003,PG-13,Down with Love
1990,PG-13,Green Card
1983,R,Uncommon Valor
2002,R,Death to Smoochy
2000,R,Proof of Life
1984,R,Tightrope
2019,PG,Breakthrough
I 2012,PG-13,Upside Down
2010,PG,The Extraordinary Adventures of AdÃ¨le Blanc-Sec
1993,PG-13,City Hunter
1997,R,Hoodlum
1997,R,A Life Less Ordinary
2017,Not Rated,Shimmer Lake
1990,R,Bad Influence
1995,PG-13,How to Make an American Quilt
2008,PG-13,The Red Baron
1987,R,The Principal
1986,PG-13,Gung Ho
2020,Not Rated,Misbehaviour
2010,R,Going the Distance
2013,R,Third Person
2009,R,The Private Lives of Pippa Lee
2014,R,Just Before I Go
2012,Not Rated,The Conspiracy
2014,R,The Disappearance of Eleanor Rigby: Them
2012,R,The Baytown Outlaws
I 2008,R,Surveillance
2010,PG-13,Country Strong
1956,Approved,Bus Stop
2013,R,Charlie Countryman
2016,Not Rated,The Limehouse Golem
2019,G,Noelle
1989,R,Blind Fury
1971,G,Escape from the Planet of the Apes
2012,R,The Brass Teapot
1988,R,Alien Nation
1979,PG,The Frisco Kid
2016,TV-MA,ARQ
2010,Not Rated,Norwegian Wood
2003,R,Anything Else
1994,PG-13,Greedy
2002,R,Hart's War
2018,TV-14,Bleach
2017,Not Rated,The Bar
2011,R,Special Forces
2013,Not Rated,It Boy
2009,R,The Other Woman
2018,TV-MA,Alex Strangelove
1995,R,Nick of Time
2012,PG-13,Hope Springs
2014,R,A Long Way Down
1994,PG-13,Blue Chips
1989,PG-13,Great Balls of Fire!
2008,PG-13,The Ramen Girl
1991,PG-13,Only the Lonely
2020,TV-MA,Lost Bullet
2016,R,The 9th Life of Louis Drax
2006,R,Fur: An Imaginary Portrait of Diane Arbus
2006,PG-13,For Your Consideration
2011,R,Cedar Rapids
2000,G,The Tigger Movie
II 2016,Not Rated,Headshot
2018,R,Gloria Bell
2012,Not Rated,Grabbers
1992,R,Trespass
1991,R,The Hard Way
1997,R,Red Corner
2015,Not Rated,The Assassin
2016,R,Wakefield
2010,R,You Will Meet a Tall Dark Stranger
2014,Not Rated,The Rewrite
2013,R,The Art of the Steal
1939,Passed,Jamaica Inn
2006,R,Art School Confidential
2021,TV-14,Major Grom: Plague Doctor
2001,R,Made
1992,R,Rapid Fire
2009,R,Solitary Man
2012,Not Rated,The Battery
1944,Approved,The Three Caballeros
2005,R,The Big White
2016,Not Rated,The Good Neighbor
2010,R,Daydream Nation
2016,Not Rated,David Brent: Life on the Road
I 2019,Not Rated,Luka Chuppi
1995,R,The Crossing Guard
1996,PG-13,The Truth About Cats & Dogs
1999,R,Plunkett & Macleane
1997,PG-13,Mad City
2007,PG-13,This Christmas
2014,R,Rob the Mob
2005,R,Shopgirl
II 2000,R,Versus
2012,Not Rated,Cocktail
2009,PG,Bandslam
2006,PG,The Astronaut Farmer
2003,R,Sylvia
2015,R,Cop Car
2003,R,Shade
2015,PG-13,The Meddler
2002,R,Welcome to Collinwood
2008,R,Hamlet 2
2004,R,Enduring Love
I 2010,R,Cyrus
2011,Not Rated,Flypaper
2009,R,Veronika Decides to Die
2002,R,Ararat
1999,PG-13,"Happy, Texas"
2016,TV-MA,Mindhorn
2003,R,Ju-On: The Grudge 2
2000,R,Nurse Betty
2013,R,The Pretty One
2018,Not Rated,I Am Not an Easy Man
2007,R,The Life Before Her Eyes
2000,R,Ordinary Decent Criminal
2016,PG-13,Southside with You
2020,Not Rated,Gulabo Sitabo
2017,Not Rated,Spyder
2015,Not Rated,DÃ¼gÃ¼n Dernek 2: SÃ¼nnet
2011,Not Rated,KokowÃ¤Ã¤h
2013,Not Rated,Thalaivaa
2006,R,Saw III
2023,Not Rated,My Fault
2003,R,The Texas Chainsaw Massacre
1984,R,The Toxic Avenger
2011,R,Scream 4
2022,PG-13,Thor: Love and Thunder
2022,R,Bodies Bodies Bodies
2022,PG-13,Fantastic Beasts: The Secrets of Dumbledore
2001,R,Jeepers Creepers
2014,R,"As Above, So Below"
2010,R,I Spit on Your Grave
2012,R,This Is 40
I 2021,R,Malignant
2003,R,Final Destination 2
I 2015,PG-13,The Visit
1988,PG-13,Killer Klowns from Outer Space
2020,R,The Empty Man
2019,PG-13,Scary Stories to Tell in the Dark
2012,PG-13,Dark Shadows
1983,R,Sleepaway Camp
2021,R,Fear Street: Part One - 1994
I 2013,PG-13,Mama
2021,R,The Hating Game
2019,R,Terminator: Dark Fate
2001,PG-13,Pearl Harbor
2002,PG-13,Men in Black II
V 2020,R,Alone
1998,PG-13,Small Soldiers
2010,PG,Diary of a Wimpy Kid
2002,PG-13,Sweet Home Alabama
1990,PG-13,Kindergarten Cop
I 2011,R,No Strings Attached
2008,PG-13,Indiana Jones and the Kingdom of the Crystal Skull
2016,Unrated,The Love Witch
2016,PG-13,The Legend of Tarzan
1997,R,Alien: Resurrection
1979,R,The Amityville Horror
1984,PG,The Adventures of Buckaroo Banzai Across the 8th Dimension
I 2021,R,Kate
1981,R,Porky's
1983,R,Flashdance
2013,PG-13,47 Ronin
1995,PG-13,Hackers
1999,R,Idle Hands
2017,TV-MA,1922
I 2010,PG-13,The Losers
1998,PG-13,Deep Impact
2016,PG-13,Ouija: Origin of Evil
2019,R,Cold Pursuit
2009,R,Case 39
2022,Not Rated,Piggy
1990,PG,Dick Tracy
2011,G,Cars 2
1988,R,Pumpkinhead
2019,TV-MA,In the Shadow of the Moon
2005,R,Wolf Creek
1981,PG,The Cannonball Run
I 2014,R,Deliver Us from Evil
2022,R,Emancipation
2019,R,Synchronic
1996,R,Fear
2014,R,300: Rise of an Empire
2022,TV-MA,Incantation
2019,Unrated,Color Out of Space
2015,R,Trainwreck
I 2017,TV-MA,VerÃ³nica
2002,PG-13,Austin Powers in Goldmember
2001,PG-13,Save the Last Dance
2021,R,The Card Counter
2009,PG-13,Knowing
2002,PG-13,Reign of Fire
2017,R,It Comes at Night
2013,R,Parker
2007,PG-13,Rush Hour 3
I 2007,R,Hitman
2011,PG-13,Transformers: Dark of the Moon
2014,PG-13,Dracula Untold
2013,R,Lovelace
2021,R,The Cursed
2005,PG,Zathura: A Space Adventure
I 2005,PG-13,Just Friends
2004,R,Birth
2018,PG-13,Maze Runner: The Death Cure
2014,PG,Night at the Museum: Secret of the Tomb
2016,R,Colossal
2011,PG-13,The Eagle
2012,R,American Mary
I 2014,PG-13,Transcendence
1998,PG-13,A Night at the Roxbury
1990,R,Frankenhooker
1995,PG-13,The Brady Bunch Movie
2019,PG-13,Happy Death Day 2U
2013,R,Adoration
2017,PG,Despicable Me 3
2007,R,Vacancy
2017,R,American Assassin
2015,PG-13,The Divergent Series: Insurgent
2017,R,Girls Trip
I 2016,PG-13,Inferno
2006,R,Beerfest
1996,PG-13,The Arrival
II 2017,R,The Wall
2007,PG-13,Next
1960,Not Rated,The Little Shop of Horrors
2016,PG,Alice Through the Looking Glass
1979,PG,Moonraker
2003,PG-13,Anger Management
1985,PG-13,Mad Max Beyond Thunderdome
2016,R,Bad Moms
2022,Not Rated,Hatching
1993,R,Hard Target
2021,R,Copshop
2017,R,My Friend Dahmer
2016,R,The Brothers Grimsby
2012,R,Killing Them Softly
2022,TV-MA,I Came By
2016,PG-13,Before I Wake
1999,R,Stigmata
2018,R,Accident Man
2007,PG,TMNT
2018,TV-MA,The Perfection
2015,PG-13,Paper Towns
2015,R,Dark Places
1994,PG,Baby's Day Out
2001,R,The Hole
1975,R,Death Race 2000
2017,PG,Captain Underpants: The First Epic Movie
2018,PG-13,UFO
2010,PG-13,Takers
2014,PG-13,Endless Love
2017,Not Rated,Time Trap
1982,PG,The Beastmaster
2009,R,Dorian Gray
2020,R,Spenser Confidential
1978,PG,The Lord of the Rings
1981,R,My Bloody Valentine
2020,Not Rated,Psycho Goreman
2005,R,Feast
2018,R,Blockers
I 2015,PG-13,Krampus
1994,PG,Angels in the Outfield
2016,R,Why Him?
2012,PG-13,Taken 2
1997,R,The Devil's Own
2016,R,Keanu
2001,PG-13,Heartbreakers
1979,PG,Meatballs
2005,R,Two for the Money
1997,PG-13,The Saint
2003,PG-13,Uptown Girls
2014,PG-13,3 Days to Kill
2012,R,Deadfall
I 2018,TV-MA,The Outsider
2009,R,Powder Blue
1996,R,Eraser
2004,R,Taking Lives
2014,PG-13,Jack Ryan: Shadow Recruit
1980,R,Private Benjamin
1982,Not Rated,Basket Case
2003,PG,Johnny English
1991,PG-13,Necessary Roughness
1994,R,Blown Away
2005,R,Land of the Dead
2020,R,Lost Girls
2015,PG-13,Daddy's Home
2004,PG-13,After the Sunset
1990,R,Lionheart
1972,X,Fritz the Cat
1977,PG,The Deep
2018,PG,Johnny English Strikes Again
2007,R,Resident Evil: Extinction
2008,PG-13,Step Up 2: The Streets
2005,PG-13,Fun with Dick and Jane
1985,PG-13,National Lampoon's European Vacation
2019,R,Stuber
1998,G,Quest for Camelot
2012,R,Red Lights
2005,PG-13,Prime
2020,PG-13,Life in a Year
2019,R,Someone Great
2017,R,Tulip Fever
2010,PG-13,Wall Street: Money Never Sleeps
1994,PG-13,Airheads
2012,R,The Five-Year Engagement
2007,PG-13,The Nanny Diaries
2018,R,Destroyer
2015,R,We Are Your Friends
2016,Unrated,A Dark Song
2008,R,Outlander
1978,R,Damien: Omen II
2002,R,Femme Fatale
1993,PG-13,Wayne's World 2
2015,R,MI-5
I 2013,R,Redemption
2008,PG-13,The Sisterhood of the Traveling Pants 2
1993,PG-13,Loaded Weapon 1
2001,R,Dagon
2014,R,Maps to the Stars
1986,R,Youngblood
2011,PG-13,Tower Heist
2001,R,How High
1993,R,Needful Things
1989,R,Warlock
2004,PG-13,Shall We Dance
2015,Not Rated,One Wild Moment
2002,PG-13,Orange County
1996,R,Eye for an Eye
2007,PG-13,Sydney White
1974,G,Dark Star
2007,R,Rogue
2016,R,Billy Lynn's Long Halftime Walk
1915,TV-PG,The Birth of a Nation
2008,R,"New York, I Love You"
2017,Not Rated,Double Lover
2008,PG-13,The Rocker
2020,R,The Silencing
2016,R,The Whole Truth
2007,Unrated,Frontier(s)
1996,PG-13,Black Sheep
2017,PG-13,Wonder Wheel
1980,Not Rated,City of the Living Dead
2009,PG,Astro Boy
2007,R,War
2004,PG-13,Jersey Girl
1990,R,Tales from the Darkside: The Movie
1989,PG,Turner & Hooch
1988,R,Married to the Mob
2006,PG-13,It's a Boy Girl Thing
2020,R,The Wolf of Snow Hollow
I 2019,R,Villains
1998,R,Belly
2002,PG-13,Kung Pow: Enter the Fist
2009,R,The Boondock Saints II: All Saints Day
2002,R,Ali G Indahouse
1987,R,Amazon Women on the Moon
2003,PG-13,Shanghai Knights
2009,R,The Men Who Stare at Goats
1997,R,Money Talks
1994,G,Thumbelina
2013,R,Palo Alto
2004,R,The Libertine
I 2017,TV-MA,The Discovery
2003,R,The Human Stain
1999,PG-13,Dick
2001,PG-13,Out Cold
2001,R,Prozac Nation
2005,R,Romance & Cigarettes
I 1990,R,Revenge
1993,R,Rising Sun
1985,PG-13,A Chorus Line
1998,G,PokÃ©mon: The First Movie - Mewtwo Strikes Back
1999,PG-13,Message in a Bottle
1988,R,Monkey Shines
2004,PG-13,Bride & Prejudice
2016,R,The Eyes of My Mother
2014,PG-13,The Two Faces of January
2010,PG-13,Step Up 3D
2015,R,Last Knights
2014,PG,"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
1985,PG,D.A.R.Y.L.
II 2020,Not Rated,Black Box
2003,PG-13,Gods and Generals
2018,PG-13,Welcome to Marwen
2011,PG,The Big Year
2010,R,Greenberg
2015,R,Maggie's Plan
1997,R,Nightwatch
2021,R,Crisis
2011,R,The Deep Blue Sea
2021,PG,Peter Rabbit 2: The Runaway
2010,R,London Boulevard
2008,R,Untraceable
2003,R,Party Monster
2018,R,The Catcher Was a Spy
2013,R,The Fifth Estate
1998,R,Twilight
2018,Not Rated,Galveston
2006,R,The Foot Fist Way
1991,R,Ricochet
1990,R,Bride of Re-Animator
2011,R,W.E.
1992,PG,HouseSitter
I 2017,R,6 Days
1977,PG,Jabberwocky
1985,PG,Santa Claus: The Movie
2018,R,In Fabric
2020,TV-14,Work It
2007,G,Mr. Magorium's Wonder Emporium
2004,PG-13,Vanity Fair
2011,R,Chalet Girl
2020,R,Sergio
1988,PG,Funny Farm
2011,R,A Lonely Place to Die
I 2010,R,I'm Still Here
1994,R,Surviving the Game
2013,R,Afflicted
I 1990,PG-13,My Blue Heaven
1996,PG-13,The Portrait of a Lady
2018,R,The Hummingbird Project
1932,Passed,White Zombie
1994,PG-13,Renaissance Man
2021,TV-PG,Single All the Way
1992,R,Innocent Blood
2010,R,The Warrior's Way
2018,PG-13,The Quake
2010,R,Tamara Drewe
I 2010,R,Mother's Day
2007,R,Lions for Lambs
2010,PG-13,Peacock
2017,R,Resident Evil: Vendetta
2016,R,Una
2017,PG,Wonderstruck
1994,PG,I.Q.
I 2011,R,Butter
2000,R,Cecil B. Demented
2009,R,Rampage
2008,PG-13,Lakeview Terrace
2006,PG-13,Man of the Year
2013,Not Rated,A Field in England
2016,R,Our Kind of Traitor
2021,TV-MA,Below Zero
2011,PG-13,A Little Bit of Heaven
1992,PG,Stay Tuned
2014,R,Dear White People
1993,PG-13,Sommersby
1993,R,CB4
1969,M/PG,Topaz
1993,PG,For Love or Money
2008,Not Rated,The Onion Movie
2014,Not Rated,Wyrmwood: Road of the Dead
2022,Not Rated,Dhokha
1994,PG-13,Guarding Tess
2014,R,Cuban Fury
1986,R,Down and Out in Beverly Hills
2020,R,Bruised
2017,R,Sweet Virginia
2019,TV-MA,The Coldest Game
